current_ratio,debt_to_equity,net_profit_margin,company_age,target
1.378478664,0.737356451,0.202552671,5.0,0
1.311222934,0.729530744,0.206871135,5.0,0
1.675799087,0.763901785,-0.465782655,5.0,1
1.899600178,0.96924453,-1.265895954,5.0,1
0.348114832,2.68997905,0.053779548,5.0,1
0.753801488,0.918674951,0.109718025,5.0,1
0.769225745,1.661674986,0.043066051,5.0,0
0.850681381,1.399582921,0.050480061,5.0,0
0.776368196,1.594297261,0.049955703,5.0,0
0.737540212,2.302683469,0.037000261,5.0,0
1.653977422,1.129153605,0.110676128,5.0,0
1.36030205,1.75916389,0.124020786,5.0,0
1.634278003,1.501051451,0.113118678,5.0,0
1.67312009,1.465637299,0.098624623,5.0,0
1.363175025,1.425169916,0.073905734,5.0,0
0.882592183,1.929669427,0.094578284,5.0,0
1.780934733,1.896431283,0.160080616,5.0,0
1.713174446,2.191748768,0.149781057,5.0,0
2.051478261,1.371128194,0.097110754,5.0,0
1.69387064,2.056717476,0.131856609,5.0,0
2.395772595,0.875271411,0.488536849,5.0,0
1.340914312,-3.749848943,-0.232468335,5.0,1
1.281154659,-3.278706495,-0.083341067,5.0,1
1.507919967,-456.2222222,0.123441754,5.0,1
1.220168955,-2.295142249,-0.018145957,5.0,1
1.184826282,-2.599269446,-0.057282991,5.0,1
1.26543987,5.575624505,0.016149165,5.0,1
1.368827355,2.887303466,0.026431952,5.0,1
1.555029176,5.915806674,0.033301077,5.0,1
1.226052792,13.08840827,0.047699637,5.0,0
1.409131726,1.245446228,0.056992049,5.0,1
2.98492127,1.293920947,0.124837561,5.0,0
2.751493795,1.172082479,0.126559939,5.0,0
2.373592631,0.596728365,0.050556541,5.0,0
0.909737661,2.377923432,0.096811498,5.0,0
0.915910177,2.403397639,0.103312561,5.0,0
0.801300284,2.215464548,0.049503255,5.0,0
1.285714286,1.967041293,0.084417697,5.0,0
1.257386476,1.2664043,0.157189946,5.0,0
0.94954624,1.451687541,-0.14313884,5.0,0
1.306058767,1.24497698,0.123727867,5.0,0
1.076599686,1.349288605,0.050797956,5.0,0
1.375279482,1.441161148,0.135926714,5.0,0
0.613980471,1.22370009,0.16272401,5.0,1
0.924112971,3.739984883,-3.487267407,5.0,1
1.269564538,1.231438171,0.26095996,5.0,1
1.034548828,1.118886557,32.83318062,5.0,1
2.502760289,1.177826733,26.069869,5.0,1
0.875909679,1.953987045,0.111379418,5.0,0
0.880569643,2.54460247,0.086875014,5.0,0
0.717159193,2.683976013,0.089299855,5.0,0
0.827730668,2.618184848,0.087394678,5.0,0
0.831112854,2.477549923,0.078947927,5.0,0
0.893794264,2.509174644,0.089376883,5.0,0
0.875282834,2.734310941,0.101142261,5.0,0
1.067387687,0.518957848,-0.077060452,5.0,1
2.407087221,1.255376309,0.426546991,5.0,0
1.489982652,1.587453646,0.142474054,5.0,0
2.667560446,1.3740761,0.184154823,5.0,0
2.056646122,1.287407227,0.148446422,5.0,0
1.2740234,34.94798384,0.036913982,5.0,0
1.169233715,82.94741066,0.087336033,5.0,0
1.116470522,70.0460088,0.090775212,5.0,0
